COMPANY & TICKER,,REC DATE,TEAM,RISK,MARKET CAP,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,JetBlue Airways,11/18/16,David,15,$3B,$20.73 ,-45.00%,52.50%,-97.50%,Add JBLU to your Favorites
,JBLU,,,,,,,,,
,Nike,10/21/16,Tom,,$149B,$49.55 ,93.30%,55.70%,37.60%,Add NKE to your Favorites
,NKE,,,,,,,,,
,Grupo Aeroportuario del Pacifico,10/21/16,David,8,$86B,$89.01 ,-18.90%,55.70%,-74.70%,Add PAC to your Favorites
,PAC,,,,,,,,,
,Starbucks,9/16/16,Tom,,$88B,$49.87 ,51.20%,56.10%,-4.90%,Add SBUX to your Favorites
,SBUX,,,,,,,,,
,Alkermes,9/16/16,David,14,$3B,$49.52 ,-62.90%,56.10%,-119.10%,Add ALKS to your Favorites
,ALKS,,,,,,,,,
,Facebook,8/19/16,Tom,,$680B,$123.56 ,93.30%,53.20%,40.10%,Add FB to your Favorites
,FB Starter,,,,,,,,,
,Match Group,8/19/16,David,9,$27B,$15.12 ,533.00%,53.20%,479.80%,MTCH is in your Favorites
,MTCH Now,,,,,,,,,
,Shopify,7/15/16,Tom,,$105B,$32.32 ,2625.90%,55.10%,2570.80%,SHOP is in your Favorites
,SHOP Starter,,,,,,,,,
,T-Mobile US,7/15/16,David,12,$132B,$44.41 ,140.70%,55.10%,85.60%,Add TMUS to your Favorites
,TMUS,,,,,,,,,
,SVB Financial Group,6/17/16,Tom,,$11B,$98.61 ,125.00%,62.10%,62.90%,Add SIVB to your Favorites
,SIVB,,,,,,,,,
,Ecolab,6/17/16,David,7,$57B,$113.53 ,76.00%,62.10%,13.80%,Add ECL to your Favorites
,ECL,,,,,,,,,
,Berkshire Hathaway (B shares),5/20/16,Tom,,$438B,$141.83 ,26.70%,63.90%,-37.20%,BRK.B is in your Favorites
,BRK.B,,,,,,,,,
,Stamps.com,5/20/16,David,10,$3B,$81.58 ,115.20%,63.90%,51.40%,Add STMP to your Favorites
,STMP,,,,,,,,,
,Match Group,4/15/16,David,9,$27B,$10.79 ,787.00%,62.00%,725.00%,MTCH is in your Favorites
,MTCH Now,,,,,,,,,
,Workday,3/18/16,Tom,,$43B,$72.00 ,154.90%,64.70%,90.20%,WDAY is in your Favorites
,WDAY,,,,,,,,,
,Illumina,3/18/16,David,6,$54B,$150.24 ,145.40%,64.70%,80.80%,Add ILMN to your Favorites
,ILMN,,,,,,,,,
,Alphabet (C shares),2/19/16,Tom,,$975B,$700.91 ,104.30%,76.30%,27.90%,GOOG is in your Favorites
,GOOG,,,,,,,,,
,Criteo,1/22/16,Tom,,$770M,$30.11 ,-58.60%,77.80%,-136.40%,Add CRTO to your Favorites
,CRTO Hold,,,,,,,,,
,Texas Roadhouse,1/22/16,David,10,$4B,$32.90 ,54.70%,77.80%,-23.10%,Add TXRH to your Favorites
,TXRH,,,,,,,,,
,Kinder Morgan,12/18/15,Tom,,$35B,$12.74 ,21.80%,69.30%,-47.50%,Add KMI to your Favorites
,KMI,,,,,,,,,
,The New York Times,12/18/15,David,10,$7B,$12.87 ,225.40%,69.30%,156.10%,Add NYT to your Favorites
,NYT,,,,,,,,,
,Affiliated Managers Group,11/20/15,Tom,,$4B,$169.93 ,-55.70%,62.80%,-118.50%,Add AMG to your Favorites
,AMG,,,,,,,,,
,Anheuser-Busch InBev NV,11/20/15,David,15,$90B,$112.95 ,-55.30%,62.80%,-118.10%,Add BUD to your Favorites
,BUD,,,,,,,,,
,Roper Technologies,10/16/15,Tom,,$41B,$168.94 ,131.20%,67.70%,63.50%,Add ROP to your Favorites
,ROP,,,,,,,,,
,Designer Brands Inc.,10/16/15,David,15,$477M,$20.88 ,-68.10%,67.70%,-135.80%,Add DBI to your Favorites
,DBI,,,,,,,,,
,Marriott International,9/18/15,Tom,,$29B,$65.45 ,37.00%,74.40%,-37.30%,Add MAR to your Favorites
,MAR,,,,,,,,,
,Novo Nordisk,9/18/15,David,7,"$1,049B",$51.17 ,32.00%,74.40%,-42.30%,Add NVO to your Favorites
,NVO,,,,,,,,,
,Mylan,8/21/15,David,15,$8B,$51.50 ,-68.60%,73.50%,-142.10%,Add MYL to your Favorites
,MYL,,,,,,,,,
,Amerco,7/17/15,David,12,$6B,$326.42 ,-5.00%,61.20%,-66.20%,Add UHAL to your Favorites
,UHAL,,,,,,,,,
