COMPANY & TICKER,,REC DATE,RISK,MARKET CAP,CURRENT PRICE,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,Under Armour (C Shares),8/24/16,14,$4B,$8.67 ,$38.88 ,-77.90%,51.40%,-129.30%,Add UA to your Favorites
,UA,,,,,,,,,
,MicroStrategy,7/27/16,10,$1B,$117.79 ,$182.98 ,-37.50%,52.40%,-89.80%,Add MSTR to your Favorites
,MSTR,,,,,,,,,
,2U,7/27/16,15,$2B,$35.81 ,$35.25 ,1.00%,52.40%,-51.30%,Add TWOU to your Favorites
,TWOU,,,,,,,,,
,NuVasive,6/22/16,16,$3B,$52.97 ,$57.79 ,-5.10%,58.50%,-63.60%,Add NUVA to your Favorites
,NUVA,,,,,,,,,
,Electronic Arts,6/22/16,8,$38B,$130.74 ,$74.80 ,75.00%,58.50%,16.40%,Add EA to your Favorites
,EA Starter,,,,,,,,,
,NetEase,5/25/16,6,$60B,$436.06 ,$164.26 ,166.30%,58.40%,107.90%,Add NTES to your Favorites
,NTES,,,,,,,,,
,"Axos Financial, Inc.",4/27/16,11,$1B,$20.28 ,$19.43 ,3.60%,58.40%,-54.80%,Add AX to your Favorites
,AX,,,,,,,,,
,Broadcom Ltd Corporate Action Details,4/27/16,11,$123B,$308.85 ,$195.08 ,130.20%,58.40%,71.80%,Add AVGO to your Favorites
,AVGO,,,,,,,,,
,Shopify,3/23/16,12,$107B,$916.32 ,$26.20 ,3323.70%,63.20%,3260.50%,SHOP is in your Favorites
,SHOP Starter,,,,,,,,,
,Workday,3/23/16,8,$42B,$186.26 ,$71.26 ,152.70%,63.20%,89.50%,WDAY is in your Favorites
,WDAY,,,,,,,,,
,Shopify,2/24/16,12,$107B,$916.32 ,$21.02 ,4167.40%,72.60%,4094.80%,SHOP is in your Favorites
,SHOP Starter,,,,,,,,,
,Planet Fitness,1/27/16,13,$6B,$64.87 ,$11.93 ,449.90%,77.30%,372.70%,Add PLNT to your Favorites
,PLNT,,,,,,,,,
,Intercontinental Exchange,1/27/16,11,$50B,$92.83 ,$47.73 ,90.00%,77.30%,12.80%,Add ICE to your Favorites
,ICE,,,,,,,,,
,CyberArk Software,11/25/15,11,$4B,$97.27 ,$44.42 ,117.80%,60.30%,57.50%,Add CYBR to your Favorites
,CYBR,,,,,,,,,
,Take-Two Interactive,11/25/15,7,$15B,$140.40 ,$35.62 ,292.70%,60.30%,232.40%,Add TTWO to your Favorites
,TTWO,,,,,,,,,
,Axon Enterprise,10/28/15,9,$6B,$95.95 ,$23.48 ,297.90%,60.60%,237.40%,Add AAXN to your Favorites
,AAXN,,,,,,,,,
,Biogen Corporate Action Details,10/28/15,10,$43B,$262.63 ,N/A Corporate Action Details,7.60%,58.30%,-50.80%,Add BIIB to your Favorites
,BIIB,,,,,,,,,
,Skechers,9/23/15,11,$5B,$30.14 ,$47.57 ,-36.10%,73.40%,-109.50%,Add SKX to your Favorites
,SKX,,,,,,,,,
,Wayfair,8/26/15,13,$19B,$205.12 ,$43.05 ,366.20%,73.50%,292.70%,Add W to your Favorites
,W,,,,,,,,,
,NXP Semiconductors,7/22/15,14,$32B,$113.37 ,$88.02 ,28.40%,59.60%,-31.20%,Add NXPI to your Favorites
,NXPI,,,,,,,,,
,Skyworks Solutions,7/22/15,8,$21B,$127.30 ,$92.12 ,37.20%,59.60%,-22.40%,Add SWKS to your Favorites
,SWKS,,,,,,,,,
,Dave & Buster's Entertainment,6/24/15,11,$673M,$13.82 ,$35.95 ,-60.60%,60.30%,-120.80%,Add PLAY to your Favorites
,PLAY Hold,,,,,,,,,
,Lions Gate Entertainment Corporation Class B Corporate Action Details,5/27/15,18,$2B,$6.75 ,$7.99 ,-77.60%,59.40%,-137.00%,Add LGF.B to your Favorites
,LGF.B,,,,,,,,,
,Cerner,4/22/15,10,$21B,$68.36 ,$71.47 ,-4.00%,60.90%,-64.90%,Add CERN to your Favorites
,CERN,,,,,,,,,
,Euronet Worldwide,3/25/15,10,$5B,$92.27 ,$56.56 ,63.00%,64.80%,-1.80%,Add EEFT to your Favorites
,EEFT,,,,,,,,,
,TripAdvisor,2/25/15,13,$2B,$18.34 ,$79.30 ,-77.10%,60.90%,-138.00%,Add TRIP to your Favorites
,TRIP,,,,,,,,,
,Baidu,2/25/15,7,$42B,$123.73 ,$203.53 ,-40.40%,60.90%,-101.30%,Add BIDU to your Favorites
,BIDU,,,,,,,,,
,TrueCar,1/28/15,13,$287M,$2.70 ,$17.93 ,-85.00%,70.30%,-155.30%,Add TRUE to your Favorites
,TRUE Hold,,,,,,,,,
,Bluebird Bio,1/28/15,15,$4B,$62.35 ,$94.82 ,-32.90%,70.30%,-103.20%,Add BLUE to your Favorites
,BLUE,,,,,,,,,
,MercadoLibre,12/23/14,10,$47B,$971.44 ,$125.11 ,662.40%,64.00%,598.40%,Add MELI to your Favorites
,MELI Starter,,,,,,,,,
,Zendesk,12/23/14,10,$9B,$84.76 ,$24.55 ,233.00%,64.00%,169.10%,Add ZEN to your Favorites
,ZEN,,,,,,,,,
,SS&C Technologies Holdings,11/25/14,11,$14B,$55.07 ,$24.23 ,129.00%,65.40%,63.60%,Add SSNC to your Favorites
,SSNC,,,,,,,,,
,Arista Networks,11/25/14,5,$16B,$211.98 ,$73.74 ,183.80%,65.40%,118.40%,Add ANET to your Favorites
,ANET,,,,,,,,,
,Veeva Systems,9/24/14,7,$35B,$236.82 ,$28.83 ,712.70%,71.70%,641.00%,Add VEEV to your Favorites
,VEEV,,,,,,,,,
,Proto Labs,8/27/14,16,$3B,$112.05 ,$76.05 ,41.30%,71.80%,-30.50%,Add PRLB to your Favorites
,PRLB,,,,,,,,,
,MicroStrategy,7/23/14,10,$1B,$117.79 ,$138.37 ,-17.30%,73.30%,-90.70%,Add MSTR to your Favorites
,MSTR,,,,,,,,,
,CalAmp,6/25/14,19,$259M,$7.68 ,$20.47 ,-63.20%,76.00%,-139.20%,Add CAMP to your Favorites
,CAMP Hold,,,,,,,,,
,Align Technology,6/25/14,11,$20B,$257.43 ,$54.05 ,376.70%,76.00%,300.70%,Add ALGN to your Favorites
,ALGN,,,,,,,,,
,Insulet,5/28/14,14,$13B,$193.44 ,$36.45 ,427.00%,80.80%,346.20%,Add PODD to your Favorites
,PODD,,,,,,,,,
,Splunk,5/28/14,12,$30B,$193.04 ,$48.88 ,290.00%,80.80%,209.10%,Add SPLK to your Favorites
,SPLK,,,,,,,,,
,Five Below,4/23/14,10,$6B,$105.56 ,$38.56 ,176.00%,84.60%,91.40%,Add FIVE to your Favorites
,FIVE,,,,,,,,,
,Palo Alto Networks,4/23/14,10,$22B,$226.90 ,$69.05 ,223.50%,84.60%,138.90%,Add PANW to your Favorites
